Reference,Ecosystem,Community,Biome,Plant,Net primary production (g C m^-2 y^-1),Leaf production (g C m^-2 y^-1),Plant biomass (g C m^-2),Detrital production (g C m^-2 y^-1),Detrital leaf production (g C m^-2 y^-1),Detrital biomass (g C m^-2),Herbivory (g C m^-2 y^-1),Herbivore biomass (g C m^-2),Decomposition (g C m^-2 y^-1),Total consumption (g C m^-2 y^-1),Accumulation (g C m^-2 y^-1),Export (g C m^-2 y^-1),k (d^-1),Detrital nitrogen (%),Detrital phosphorus (%),Plant nitrogen (%),Plant phosphorus (%)
Sorokin 1983,aquatic,marine macroalgal beds,Macroalgal forest,Algae,7.5336,NA,NA,5.1611,NA,NA,2.3725,NA,NA,NA,NA,NA,NA,NA,NA,2.5,0.31
Soszka 1975,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,167.535,NA,76.2,152.57,NA,NA,15.2205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soszka 1975,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,81.03,NA,37.8,75.555,NA,NA,5.2925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soszka 1975,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,62.78,NA,19.25,38.325,NA,NA,24.3455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soszka 1975,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,55.48,NA,19.75,39.42,NA,NA,16.0235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spencer 1977,aquatic,marine macroalgal beds,Macroalgal forest,Algae,1357.60655,NA,NA,NA,NA,NA,NA,NA,419.0711,NA,NA,NA,NA,NA,NA,NA,NA
Squiers and Good 1974,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,436.905,NA,266.592428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99,NA
Stanley 1976,aquatic,freshwater benthic microalgal beds,Microphytobenthos,Algae,7.5701,NA,0.9125,1.05485,NA,NA,1.0731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steele and Baird 1968,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,9.199825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.199955,NA,NA,NA,NA,NA
Stimson and Kinzie 1991,aquatic,marine macroalgal beds,Macroalgal forest,Algae,790.1082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.745,NA,NA,NA,NA,NA
Strom and Welschemeyer 1991,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,117.895,NA,NA,66.795,NA,NA,51.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strugnell and Pigott 1978,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,306.6,NA,98.52,146,NA,14.68,164.25,NA,145.99,310.24,NA,NA,0.027248,1.6,NA,1.6,NA
Suess 1980,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,496.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.15,NA,NA,NA,NA,NA,NA
Suess 1980,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,401.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.155,NA,NA,NA,NA,NA,NA
Svensson and Roswall 1980,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,56.94,NA,196.8,56.575,NA,50,0.36135,NA,38.26367,38.62502,NA,NA,0.0031,NA,NA,NA,NA
Tanaka 1991,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0045,0.71,NA,NA,NA
Tanner 1980,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,195.64,NA,315.294118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,0.05
Taylor et al. 1989,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0021,0.78,0.08,NA,NA
Taylor et al. 1989,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0016,0.58,0.13,NA,NA
Taylor et al. 1989,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0036,1.31,0.29,NA,NA
Taylor et al. 1989,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0018,0.64,0.12,NA,NA
Taylor et al. 1989,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0022,0.81,0.06,NA,NA
Teal 1962,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,992.10066,NA,250,941.00066,NA,NA,51.1,0.281,365,416.1,40.15,365,0.02188,0.9,0.18,0.9,0.18
Tenhunen et al. 1992,terrestrial,tundra shrublands and grasslands,Tundra,Terrestrial plants,753.36,NA,161.7,NA,NA,NA,NA,NA,NA,NA,173.01,NA,NA,NA,NA,NA,NA
Tersching 1989,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,489.24965,NA,NA,471.72965,NA,NA,17.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thornton 1971,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,190.00075,NA,NA,143.9998,NA,NA,46.00095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tijseen 1979,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,181.5583,NA,NA,NA,NA,NA,NA,NA,78.52464,NA,NA,NA,NA,NA,NA,NA,NA
Tijssen and Eijgenraam 1982,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,754.528,NA,NA,NA,NA,NA,NA,NA,162.084309,NA,NA,NA,NA,NA,NA,NA,NA
Tilzer 1984,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,296.38,NA,1.447,73.73,NA,NA,222.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Twilley et al. 1985,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,94.4,NA,NA,73.9,NA,NA,NA,NA,58.14,NA,NA,NA,0.092,2.82,0.372,NA,NA
Twilley et al. 1985,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,69.2,NA,NA,56.22,NA,NA,NA,NA,46.21,NA,NA,NA,0.0242,NA,0.201,NA,NA
Twilley et al. 1985,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0138,NA,0.137,NA,NA
Twilley et al. 1985,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0398,NA,0.298,NA,NA
Twilley et al. 1985,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0988,2.92,0.383,NA,NA
Twilley et al. 1985,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0142,1.67,0.245,NA,NA
Twilley et al. 1986a,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.054,6.63,1.09,NA,NA
Twilley et al. 1986a,aquatic,marine macroalgal beds,Macroalgal forest,Algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023,2.89,0.36,NA,NA
Twilley et al. 1986a,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.031,1.77,0.36,NA,NA
Twilley et al. 1986a,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028,1.37,0.51,NA,NA
Twilley et al. 1986a,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045,2.79,0.56,NA,NA
Twilley et al. 1986a,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0098,1.07,0.15,NA,NA
Twilley et al. 1986b,terrestrial,mangroves,Mangrove forest,Marine angiosperms,199.3119,NA,6800,NA,NA,NA,NA,NA,7.3,NA,3.431,189.8,NA,NA,NA,NA,NA
Twilley et al. 1986b,terrestrial,mangroves,Mangrove forest,Marine angiosperms,181.8284,NA,4460,NA,NA,NA,NA,NA,76.65,NA,30.295,76.65,NA,NA,NA,NA,NA
Twilley et al. 1986b,terrestrial,mangroves,Mangrove forest,Marine angiosperms,118.8878,NA,6544,NA,NA,NA,NA,NA,65.7,NA,27.01,25.55,NA,NA,NA,NA,NA
Udell et al 1969,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,215.35,NA,107.664234,200.2755,NA,NA,15.0745,NA,NA,NA,NA,NA,NA,NA,NA,2.14,NA
Urabe et al. 1995,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,294.19,NA,NA,73.55,NA,NA,220.64,NA,NA,NA,NA,NA,NA,NA,NA,4.91,0.314
Vadstein et al 1989,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,208.415,NA,4.305,79.205,NA,NA,117.53,NA,NA,NA,NA,NA,0.0526,4.96,0.8,NA,NA
Valiela et al. 1984,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0043,0.71,NA,NA,NA
Van Cleve et al. 1981,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,51.1,NA,927.152318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,0.0833
Van Cleve et al. 1981,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,28.7985,NA,597.727273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,0.033
Van Cleve et al. 1983,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,226,NA,4422.700587,NA,NA,NA,NA,NA,110,NA,116.00065,NA,NA,0.24,0.0245,0.24,0.0245
Van Cleve et al. 1983,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,220.8,NA,4839.452055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,0.0268
Van Cleve et al. 1983,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,188,NA,4478.856462,NA,NA,NA,NA,NA,93.3305,NA,94.6664,NA,NA,0.25,0.0256,0.25,0.0256
Van Cleve et al. 1983,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,146.4,NA,6975.580703,NA,NA,NA,NA,NA,54.00175,NA,92.39975,NA,NA,0.14,0.0177,0.14,0.0177
Van Cleve et al. 1983,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,45.2,NA,2036.770007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,0.036
Van Hook 1971,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,127.385,NA,56.88,81.76,NA,152.5,12.3005,0.267073789,33.8515,46.152,NA,NA,0.001469,NA,NA,NA,NA
Van der Valk and Attiwill 1984,terrestrial,mangroves,Mangrove forest,Marine angiosperms,104.901,NA,NA,NA,NA,NA,NA,NA,47.45,NA,5.11,40.15,NA,NA,NA,NA,NA
Van der Valk and Attiwill 1984,terrestrial,mangroves,Mangrove forest,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0114,0.74,0.065,NA,NA
Van der Valk and Attiwill 1984,terrestrial,mangroves,Mangrove forest,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0071,1.24,0.127,NA,NA
Van der Valk and Attiwill 1984,terrestrial,mangroves,Mangrove forest,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0189,0.76,0.061,NA,NA
Van der Valk and Attiwill 1984,terrestrial,mangroves,Mangrove forest,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0038,1.18,0.106,NA,NA
Van der Valk et al. 1991,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0012,0.82,0.108,NA,NA
Van der Valk et al. 1991,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0016,0.77,0.053,NA,NA
Van der Valk et al. 1991,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,0.4,0.034,NA,NA
Van der Valk et al. 1991,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.00E-04,0.3,0.029,NA,NA
Van der Valk et al. 1991,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0022,0.87,0.06,NA,NA
Van der Valk et al. 1991,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0012,0.75,0.092,NA,NA
Van der Valk et al. 1991,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E-04,0.18,0.016,NA,NA
Van der Valk et al. 1991,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0015,0.63,0.051,NA,NA
Van der Valk et al. 1991,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,0.89,0.123,NA,NA
Van der Valk et al. 1991,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0023,0.97,0.067,NA,NA
Van der Valk et al. 1991,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.00E-04,0.41,0.041,NA,NA
Van der Valk et al. 1991,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0011,0.86,0.067,NA,NA
Van Wick 1988,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,91.98,NA,10.72,20.6955,NA,NA,71.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Varley 1970,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,496,NA,NA,NA,NA,NA,NA,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA
Velimirov and Walenta-Simon 1992,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,297.0954,NA,NA,NA,NA,NA,NA,NA,103.675549,NA,NA,NA,NA,NA,NA,NA,NA
Vidal 1991,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,88.6512,NA,NA,NA,NA,NA,NA,NA,28.0174,NA,NA,NA,NA,NA,NA,NA,NA
Wahbeh and Mahasneh 1985,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,321.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0018,NA,NA,NA,NA
Wallace and O'Hop 1985,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,365,NA,13,302.95,NA,NA,62.05,NA,NA,NA,NA,NA,NA,NA,NA,4.02,0.45
Wallentinus 1981,aquatic,marine macroalgal beds,Macroalgal forest,Algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31
Walsh 1988,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,299.9935,NA,NA,199.9835,NA,NA,100.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Walsh 1988,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,284.992,NA,NA,197.976,NA,NA,87.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Walsh 1988,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,166.002,NA,NA,130.00205,NA,NA,35.99995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Walsh 1988,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,161.987,NA,NA,93.9875,NA,NA,67.9995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Walsh 1988,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,99.9735,NA,NA,76.97485,NA,NA,22.99865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Walsh et al. 1988,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0658,5.95,1.097,NA,NA
Wanders 1977,aquatic,marine macroalgal beds,Macroalgal forest,Algae,811.4315,NA,37.68,266.45,NA,NA,536.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weisse et al 1990,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,448.95,NA,5.66,189.435,NA,1.191,212.065,1.1788,NA,NA,NA,NA,0.0526,4.96,0.8,6.63,0.3
Welschmeyer and Lorenzen 1985,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,238.1479,NA,1.947,14.8555,NA,NA,182.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Welschmeyer and Lorenzen 1985,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,28.2948,NA,0.324,0.1241,NA,NA,26.061,NA,NA,NA,NA,NA,NA,NA,NA,6.9,0.98
Wetzel and Penhale 1983,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,1054.0105,NA,NA,NA,NA,NA,NA,NA,152.1174,NA,NA,NA,NA,NA,NA,NA,NA
Wetzel and Penhale 1983,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,602.51645,NA,NA,NA,NA,NA,NA,NA,385.8342,NA,NA,NA,NA,NA,NA,NA,NA
Whealer and Shaw 1991,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,700.8,NA,390,700.435,NA,176.64,NA,NA,687.377436,NA,NA,NA,0.01087,NA,NA,NA,NA
Whealer and Shaw 1991,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,598.6,NA,310,598.235,NA,88,NA,NA,597.920857,NA,NA,NA,0.018636,NA,NA,NA,NA
Whealer and Shaw 1991,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,540.2,NA,276,539.835,NA,236,NA,NA,485.056388,NA,NA,NA,0.006271,NA,NA,NA,NA
Whealer and Shaw 1991,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,500.05,NA,240,499.685,NA,129.6,NA,NA,489.373223,NA,NA,NA,0.010571,NA,NA,NA,NA
Whealer and Shaw 1991,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,368.65,NA,178,368.285,NA,180,NA,NA,320.801417,NA,NA,NA,0.005611,NA,NA,NA,NA
Whealer and Shaw 1991,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,278.13,NA,200,277.765,NA,187.2,NA,NA,214.893291,NA,NA,NA,0.004071,NA,NA,NA,NA
Whealer and Shaw 1991,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,267.91,NA,228,267.545,NA,277.2,NA,NA,165.691374,NA,NA,NA,0.002648,NA,NA,NA,NA
Whealer and Shaw 1991,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,247.835,NA,134,247.47,NA,186,NA,NA,182.182036,NA,NA,NA,0.003651,NA,NA,NA,NA
Whealer and Shaw 1991,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,140.16,NA,132,139.795,NA,110,NA,NA,100.810204,NA,NA,NA,0.003491,NA,NA,NA,NA
Whealer and Shaw 1991,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,100.01,NA,90,99.645,NA,149.6,NA,NA,48.653371,NA,NA,NA,0.001832,NA,NA,NA,NA
Whealer and Shaw 1991,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,100.01,NA,96,99.645,NA,76,NA,NA,73.076672,NA,NA,NA,0.003605,NA,NA,NA,NA
Whealer and Shaw 1991,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,87.965,NA,56,87.6,NA,81.6,NA,NA,57.934127,NA,NA,NA,0.002953,NA,NA,NA,NA
White et al. 1978,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,1387.546405,NA,589.2,1157.596405,NA,NA,229.95,NA,624.15,854.1,105.85,427.05,NA,NA,NA,NA,NA
White et al. 1978,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,517.9642,NA,671.6,NA,NA,NA,NA,NA,441.65,NA,51.1,25.915,NA,NA,NA,NA,NA
Whitfield 1977,terrestrial,tundra shrublands and grasslands,Tundra,Terrestrial plants,73.74095,NA,NA,72.332269,NA,NA,1.408681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whitfield 1977,terrestrial,tundra shrublands and grasslands,Tundra,Terrestrial plants,9.304215,NA,NA,8.930309,NA,NA,0.373906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whittaker 1975,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,157.68,NA,164,144.54,NA,NA,12.6655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whittaker and Woodwell 1969,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,342.8007,NA,NA,333.08075,NA,NA,9.71995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wiegert and Evans 1964,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,594.95,408.8,424.1,586.774,383.25,156.15,8.176,NA,286.5615,294.7375,308.4615,NA,0.006726,NA,NA,NA,NA
Wiegert and Evans 1964,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,199.509,127.75,296.2,196.954,124.83,68.89,2.555,NA,130.232,132.787,69.204,NA,0.004935,NA,NA,NA,NA
Wielgolaski 1975,terrestrial,tundra shrublands and grasslands,Tundra,Terrestrial plants,139.9994,NA,NA,133.651685,NA,61.98,6.347715,0.092,NA,NA,NA,NA,NA,NA,NA,1.1629,0.1213
Williams and Carpenter 1988,aquatic,marine macroalgal beds,Macroalgal forest,Algae,733.65,NA,NA,183.4125,NA,NA,550.2375,NA,NA,NA,NA,NA,NA,NA,NA,2.67,NA
Williams et al. 1992,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,1079.75614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251.85,NA,NA,NA,NA,NA
Williams et al. 1992,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,1079.75614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,492.75,NA,NA,NA,NA,NA
Wolff et al. 2000,terrestrial,mangroves,Mangrove forest,Marine angiosperms,507,NA,NA,493.5,NA,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,0.981875,0.06065
Wollast 1991,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,230.0011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.300045,NA,NA,NA,NA,NA
Wood et al. 1973; Tett 1986,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,69.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.425,NA,NA,NA,NA,NA
Woodwell and Botkin 1970,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,478.004,NA,4076,NA,NA,NA,NA,NA,248.3825,NA,235.206,NA,NA,NA,NA,NA,NA
Woodwell et al. 1979,aquatic,meadows of freshwater submerged macrophytes,Saltmarsh,Marine angiosperms,534.99875,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.00175,NA,NA,NA,NA,NA,NA
Yap et al. 1994,aquatic,marine macroalgal beds,Macroalgal forest,Algae,3386.178,NA,NA,NA,NA,NA,NA,NA,1537.599,NA,NA,NA,NA,NA,NA,NA,NA
Zak et al. 1994,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,235,NA,NA,NA,NA,134.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zak et al. 1994,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,112.5,NA,NA,NA,NA,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zak et al. 1994,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,92.5,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zak et al. 1994,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,46.5,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zak et al. 1994,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,41,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zak et al. 1994,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,730,NA,NA,NA,NA,128.1,NA,3.6,NA,NA,NA,NA,NA,NA,NA,0.3222,0.0552
Zak et al. 1994,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,475,NA,NA,NA,NA,102.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zak et al. 1994,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,427.5,NA,NA,NA,NA,59.9,NA,4.1,NA,NA,NA,NA,NA,NA,NA,0.3389,0.0619
Zak et al. 1994,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,396,NA,NA,NA,NA,28.1,NA,6.2,NA,NA,NA,NA,NA,NA,NA,0.3055,0.0484
Zak et al. 1994,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,106,NA,NA,NA,NA,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zak et al. 1994,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,85.5,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zak et al. 1994,terrestrial,tundra shrublands and grasslands,Tundra,Terrestrial plants,100,NA,NA,NA,NA,55.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zieman et al. 1979,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,393.2875,NA,30.8,334.8875,NA,NA,58.4,NA,NA,NA,NA,4.015,NA,NA,NA,NA,NA
Zieman et al. 1979,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,47.1945,NA,2.32,40.2595,NA,NA,6.935,NA,NA,NA,NA,36.5,NA,NA,NA,NA,NA
Zieman et al. 1993,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,174.4846,NA,NA,108.7846,NA,NA,65.7,NA,NA,NA,NA,51.1,NA,NA,NA,NA,NA
